INSTANCE_ID, EagleUP_1.565.350_Time, EagleUP_1.565.350_opt, EagleUP_1.565.350_solved, EagleUP_1.565.350_PAR, INSTANCE_ID, SAT09referencesolver:TNM_2009-03-22_Time, SAT09referencesolver:TNM_2009-03-22_opt, SAT09referencesolver:TNM_2009-03-22_solved, SAT09referencesolver:TNM_2009-03-22_PAR, INSTANCE_ID, sparrow2011_sparrow2011_ubcsat1.2_2011-03-02_Time, sparrow2011_sparrow2011_ubcsat1.2_2011-03-02_opt, sparrow2011_sparrow2011_ubcsat1.2_2011-03-02_solved, sparrow2011_sparrow2011_ubcsat1.2_2011-03-02_PAR, INSTANCE_ID, borg-sat_11.03.02-seq-random\(fixed\)_Time, borg-sat_11.03.02-seq-random\(fixed\)_opt, borg-sat_11.03.02-seq-random\(fixed\)_solved, borg-sat_11.03.02-seq-random\(fixed\)_PAR, INSTANCE_ID, adaptg2wsat2011_2011-03-02_Time, adaptg2wsat2011_2011-03-02_opt, adaptg2wsat2011_2011-03-02_solved, adaptg2wsat2011_2011-03-02_PAR, INSTANCE_ID, sattime2011_2011-03-02_Time, sattime2011_2011-03-02_opt, sattime2011_2011-03-02_solved, sattime2011_2011-03-02_PAR, INSTANCE_ID, ppfolio_seq_Time, ppfolio_seq_opt, ppfolio_seq_solved, ppfolio_seq_PAR, INSTANCE_ID, csls_pnorm-8cores_Time, csls_pnorm-8cores_opt, csls_pnorm-8cores_solved, csls_pnorm-8cores_PAR, INSTANCE_ID, Coach-SAT-Portfolio_2011-03-18_Time, Coach-SAT-Portfolio_2011-03-18_opt, Coach-SAT-Portfolio_2011-03-18_solved, Coach-SAT-Portfolio_2011-03-18_PAR, INSTANCE_ID, borg-sat_11.03.02-par-random\(fixed\)_Time, borg-sat_11.03.02-par-random\(fixed\)_opt, borg-sat_11.03.02-par-random\(fixed\)_solved, borg-sat_11.03.02-par-random\(fixed\)_PAR, INSTANCE_ID, ppfolio_par_Time, ppfolio_par_opt, ppfolio_par_solved, ppfolio_par_PAR, INSTANCE_ID, SAT09referencesolver:SATzilla2009_R_2009-03-22_Time, SAT09referencesolver:SATzilla2009_R_2009-03-22_opt, SAT09referencesolver:SATzilla2009_R_2009-03-22_solved, SAT09referencesolver:SATzilla2009_R_2009-03-22_PAR, INSTANCE_ID, MPhaseSAT_M_2011-02-16_Time, MPhaseSAT_M_2011-02-16_opt, MPhaseSAT_M_2011-02-16_solved, MPhaseSAT_M_2011-02-16_PAR, INSTANCE_ID, march_rw_2011-03-02_Time, march_rw_2011-03-02_opt, march_rw_2011-03-02_solved, march_rw_2011-03-02_PAR, INSTANCE_ID, SAT09referencesolver:march_hi_hi_Time, SAT09referencesolver:march_hi_hi_opt, SAT09referencesolver:march_hi_hi_solved, SAT09referencesolver:march_hi_hi_PAR, INSTANCE_ID, SAT09referencesolver:gnovelty+2_2009-03-22_Time, SAT09referencesolver:gnovelty+2_2009-03-22_opt, SAT09referencesolver:gnovelty+2_2009-03-22_solved, SAT09referencesolver:gnovelty+2_2009-03-22_PAR, INSTANCE_ID, borg-sat_11.03.02-random_Time, borg-sat_11.03.02-random_opt, borg-sat_11.03.02-random_solved, borg-sat_11.03.02-random_PAR
11, 5000.04, 0, 4999.81, 999, 11, 5000.07, 0, 4999.91, 999, 11, 1056.42, 1, 1056.41, 999, 11, 2972.04, 0, 2964.54, 999, 11, 5000.07, 0, 5000.02, 999, 11, 5000.06, 0, 4999.92, 999, 11, 5000.01, 0, 4999.91, 999, 11, 38441.3, 0, 5100.03, 999, 11, 5000.02, 0, 5000.02, 999, 11, 7159.52, 0, 909.818, 999, 11, 39969.3, 0, 5000.02, 999, 11, 4999.25, 0, 4999.14, 999, 11, 5000.05, 0, 4999.92, 999, 11, 5000.09, 0, 4999.91, 999, 11, 5000.03, 0, 4999.91, 999, 11, 5000.04, 0, 4999.91, 999, 11, 7957.0, 0, 1008.81, 999
12, 405.607, 1, 405.589, 999, 12, 5000.04, 0, 4999.91, 999, 12, 5000.02, 0, 4999.91, 999, 12, 3455.36, 0, 3441.94, 999, 12, 5000.04, 0, 4999.92, 999, 12, 5000.04, 0, 4999.82, 999, 12, 5000.1, 0, 5000.02, 999, 12, 17686.1, 1, 2215.87, 999, 12, 1960.55, 1, 1960.62, 999, 12, 1968.54, 1, 248.088, 999, 12, 39971.3, 0, 5000.02, 999, 12, 4998.45, 0, 4998.33, 999, 12, 5000.04, 0, 4999.91, 999, 12, 5000.14, 0, 4999.95, 999, 12, 5000.05, 0, 5000.03, 999, 12, 5000.06, 0, 4999.91, 999, 12, 8700.55, 0, 1093.5, 999
13, 2.6226, 1, 2.62289, 999, 13, 21.1658, 1, 21.1665, 999, 13, 11.5972, 1, 11.5997, 999, 13, 6.64099, 1, 6.82991, 999, 13, 99.9368, 1, 99.9349, 999, 13, 315.933, 1, 315.929, 999, 13, 200.918, 1, 201.26, 999, 13, 137.395, 1, 17.2139, 999, 13, 280.82, 1, 280.972, 999, 13, 42.2286, 1, 7.47838, 999, 13, 734.204, 1, 91.8833, 999, 13, 132.287, 1, 132.292, 999, 13, 5000.02, 0, 4999.91, 999, 13, 5000.11, 0, 5000.03, 999, 13, 5000.06, 0, 4999.92, 999, 13, 718.471, 1, 718.464, 999, 13, 50.5813, 1, 10.7249, 999
14, 5000.09, 0, 5000.01, 999, 14, 5000.03, 0, 4999.91, 999, 14, 5000.04, 0, 4999.91, 999, 14, 3550.04, 0, 3539.83, 999, 14, 5000.1, 0, 4999.92, 999, 14, 5000.05, 0, 4999.92, 999, 14, 4999.99, 0, 5000.01, 999, 14, 40000.8, 0, 5012.23, 999, 14, 5000.06, 0, 5000.02, 999, 14, 11056.7, 0, 1391.62, 999, 14, 39971.2, 0, 5000.02, 999, 14, 4999.25, 0, 4999.09, 999, 14, 5000.06, 0, 4999.91, 999, 14, 5000.1, 0, 4999.95, 999, 14, 5000.1, 0, 4999.93, 999, 14, 5000.04, 0, 4999.91, 999, 14, 7911.0, 0, 995.605, 999
15, 279.938, 1, 279.932, 999, 15, 1672.46, 1, 1672.43, 999, 15, 55.6325, 1, 55.6345, 999, 15, 1262.63, 1, 1259.39, 999, 15, 463.989, 1, 463.978, 999, 15, 2735.89, 1, 2735.86, 999, 15, 5000.1, 0, 5000.04, 999, 15, 6005.44, 1, 752.149, 999, 15, 2961.88, 1, 2961.98, 999, 15, 1523.92, 1, 195.481, 999, 15, 10313.4, 1, 1290.19, 999, 15, 4998.68, 0, 4998.57, 999, 15, 5000.07, 0, 4999.92, 999, 15, 5000.11, 0, 5000.02, 999, 15, 5000.08, 0, 4999.91, 999, 15, 5000.09, 0, 5000.01, 999, 15, 8748.37, 1, 1242.26, 999
16, 5000.04, 0, 4999.91, 999, 16, 5000.08, 0, 5000.01, 999, 16, 2223.79, 1, 2223.74, 999, 16, 3553.61, 0, 3576.14, 999, 16, 5000.04, 0, 4999.92, 999, 16, 5000.08, 0, 4999.92, 999, 16, 5000.04, 0, 4999.91, 999, 16, 40000.3, 0, 5008.93, 999, 16, 5000.04, 0, 5000.02, 999, 16, 9368.65, 0, 1179.33, 999, 16, 39971.9, 0, 5000.02, 999, 16, 4999.25, 0, 4999.08, 999, 16, 5000.02, 0, 4999.91, 999, 16, 5000.11, 0, 4999.93, 999, 16, 5000.05, 0, 4999.93, 999, 16, 5000.03, 0, 4999.91, 999, 16, 9433.37, 0, 1187.01, 999
17, 749.554, 1, 749.549, 999, 17, 4720.09, 1, 4719.97, 999, 17, 19.882, 1, 19.8831, 999, 17, 3649.92, 0, 3636.64, 999, 17, 117.741, 1, 117.745, 999, 17, 1272.54, 1, 1272.5, 999, 17, 4995.63, 1, 4995.63, 999, 17, 25023.8, 1, 3134.46, 999, 17, 1771.04, 1, 1771.12, 999, 17, 1049.27, 1, 137.016, 999, 17, 37270.9, 1, 4662.14, 999, 17, 2638.94, 1, 2638.84, 999, 17, 5000.04, 0, 4999.91, 999, 17, 5000.07, 0, 4999.95, 999, 17, 5000.1, 0, 4999.94, 999, 17, 173.047, 1, 173.04, 999, 17, 104.361, 1, 16.489, 999
18, 0.072988, 1, 0.0741, 999, 18, 0.514921, 1, 0.515283, 999, 18, 0.249961, 1, 0.250439, 999, 18, 1.23081, 1, 1.41802, 999, 18, 0.38994, 1, 0.391204, 999, 18, 0.922859, 1, 0.922619, 999, 18, 1.2888, 1, 1.28915, 999, 18, 0.417936, 1, 0.0639789, 999, 18, 23.9584, 1, 24.0341, 999, 18, 2.01169, 1, 5.32239, 999, 18, 1.05684, 1, 0.144729, 999, 18, 0.805876, 1, 0.806002, 999, 18, 17.2434, 1, 17.243, 999, 18, 5000.06, 0, 4999.94, 999, 18, 5000.1, 0, 4999.93, 999, 18, 0.155976, 1, 0.156259, 999, 18, 2.07468, 0, 1.55976, 999
19, 16.9104, 1, 16.911, 999, 19, 118.02, 1, 118.017, 999, 19, 83.5493, 1, 83.5474, 999, 19, 40.2829, 1, 40.4174, 999, 19, 97.5612, 1, 97.6079, 999, 19, 181.013, 1, 181.01, 999, 19, 417.531, 1, 417.514, 999, 19, 63.1264, 1, 7.91233, 999, 19, 457.53, 1, 457.641, 999, 19, 96.7023, 1, 15.1593, 999, 19, 301.673, 1, 37.7539, 999, 19, 178.444, 1, 178.439, 999, 19, 4112.01, 1, 4111.9, 999, 19, 5000.11, 0, 4999.96, 999, 19, 5000.07, 0, 4999.95, 999, 19, 35.5796, 1, 35.5823, 999, 19, 35.6076, 1, 5.67099, 999
20, 5000.03, 0, 4999.91, 999, 20, 5000.06, 0, 4999.91, 999, 20, 5000.08, 0, 5000.01, 999, 20, 3368.73, 0, 3357.34, 999, 20, 32.3841, 1, 32.3879, 999, 20, 5000.12, 0, 5000.02, 999, 20, 5000.09, 0, 5000.01, 999, 20, 4573.05, 1, 572.86, 999, 20, 4999.87, 0, 5000.02, 999, 20, 9504.33, 0, 1199.11, 999, 20, 39972.3, 0, 5000.02, 999, 20, 4998.46, 0, 4998.34, 999, 20, 1913.15, 1, 1913.25, 999, 20, 5000.06, 0, 4999.94, 999, 20, 5000.06, 0, 4999.83, 999, 20, 5000.05, 0, 4999.91, 999, 20, 5925.01, 1, 744.611, 999
21, 5000.04, 0, 4999.81, 999, 21, 5000.03, 0, 4999.91, 999, 21, 593.197, 1, 593.191, 999, 21, 5000.02, 0, 4992.92, 999, 21, 5000.09, 0, 4999.92, 999, 21, 5000.09, 0, 4999.92, 999, 21, 5000.08, 0, 5000.01, 999, 21, 38361.5, 0, 5100.03, 999, 21, 5000.06, 0, 5000.02, 999, 21, 9517.73, 0, 1203.53, 999, 21, 39969.6, 0, 5000.02, 999, 21, 4999.11, 0, 4998.92, 999, 21, 5000.04, 0, 4999.92, 999, 21, 5000.1, 0, 4999.91, 999, 21, 5000.03, 0, 4999.91, 999, 21, 5000.03, 0, 4999.91, 999, 21, 11581.3, 0, 1649.13, 999
22, 5000.06, 0, 4999.91, 999, 22, 2380.61, 1, 2380.58, 999, 22, 5000.02, 0, 4999.91, 999, 22, 3452.81, 0, 3443.04, 999, 22, 2848.88, 1, 2848.81, 999, 22, 4184.19, 1, 4184.06, 999, 22, 5000.02, 0, 4999.92, 999, 22, 40000.9, 0, 5009.73, 999, 22, 5000.0, 0, 4999.92, 999, 22, 8543.22, 1, 1074.65, 999, 22, 39972.0, 0, 5000.02, 999, 22, 4998.58, 0, 4998.47, 999, 22, 5000.08, 0, 4999.91, 999, 22, 5000.05, 0, 4999.94, 999, 22, 5000.07, 0, 4999.93, 999, 22, 5000.06, 0, 4999.91, 999, 22, 8638.42, 0, 1086.9, 999
23, 5000.02, 0, 4999.91, 999, 23, 716.72, 1, 716.712, 999, 23, 96.9773, 1, 96.9819, 999, 23, 5000.09, 0, 4980.38, 999, 23, 612.257, 1, 612.254, 999, 23, 2287.15, 1, 2287.09, 999, 23, 5000.11, 0, 5000.04, 999, 23, 3629.32, 1, 454.592, 999, 23, 5000.03, 0, 5000.02, 999, 23, 2401.95, 1, 342.72, 999, 23, 11205.6, 1, 1401.96, 999, 23, 4998.72, 0, 4998.57, 999, 23, 5000.11, 0, 5000.02, 999, 23, 5000.07, 0, 4999.92, 999, 23, 5000.03, 0, 4999.91, 999, 23, 5000.06, 0, 4999.91, 999, 23, 859.069, 1, 126.883, 999
24, 694.546, 1, 694.515, 999, 24, 2018.96, 1, 2018.9, 999, 24, 947.48, 1, 947.457, 999, 24, 3644.75, 0, 3632.84, 999, 24, 1671.97, 1, 1671.97, 999, 24, 3176.47, 1, 3176.43, 999, 24, 4999.97, 0, 5000.01, 999, 24, 375.934, 1, 47.0707, 999, 24, 1347.23, 1, 1347.32, 999, 24, 3267.95, 1, 410.918, 999, 24, 3122.07, 1, 390.541, 999, 24, 4999.16, 0, 4999.09, 999, 24, 240.774, 1, 240.766, 999, 24, 5000.06, 0, 4999.94, 999, 24, 5000.08, 0, 4999.94, 999, 24, 4728.54, 1, 4728.39, 999, 24, 5480.77, 1, 688.45, 999
25, 9.2216, 1, 9.22255, 999, 25, 399.308, 1, 399.305, 999, 25, 13.7929, 1, 13.7971, 999, 25, 62.8964, 1, 62.9278, 999, 25, 219.39, 1, 219.384, 999, 25, 234.777, 1, 234.769, 999, 25, 228.049, 1, 228.047, 999, 25, 544.736, 1, 68.2302, 999, 25, 299.52, 1, 299.628, 999, 25, 410.106, 1, 55.155, 999, 25, 1492.66, 1, 186.803, 999, 25, 825.782, 1, 825.772, 999, 25, 505.292, 1, 505.279, 999, 25, 5000.04, 0, 4999.92, 999, 25, 5000.03, 0, 4999.91, 999, 25, 1767.49, 1, 1767.45, 999, 25, 243.851, 1, 34.3952, 999
26, 5000.06, 0, 4999.91, 999, 26, 5000.08, 0, 5000.01, 999, 26, 5000.09, 0, 4999.91, 999, 26, 3547.91, 0, 3537.64, 999, 26, 5000.04, 0, 4999.92, 999, 26, 5000.11, 0, 5000.22, 999, 26, 4999.88, 0, 5000.01, 999, 26, 40000.9, 0, 5011.23, 999, 26, 5000.03, 0, 5000.02, 999, 26, 9353.4, 0, 1177.13, 999, 26, 39972.2, 0, 5000.02, 999, 26, 4998.4, 0, 4998.2, 999, 26, 5000.04, 0, 4999.91, 999, 26, 5000.06, 0, 4999.94, 999, 26, 5000.1, 0, 5000.03, 999, 26, 5000.04, 0, 4999.91, 999, 26, 8747.32, 0, 1246.41, 999
27, 3044.78, 1, 3044.68, 999, 27, 3759.56, 1, 3759.51, 999, 27, 1107.92, 1, 1107.91, 999, 27, 3366.14, 0, 3353.93, 999, 27, 5000.04, 0, 4999.92, 999, 27, 5000.04, 0, 4999.92, 999, 27, 1390.75, 1, 1390.71, 999, 27, 40001.0, 0, 5010.54, 999, 27, 5000.04, 0, 5000.02, 999, 27, 9590.3, 0, 1353.12, 999, 27, 39972.0, 0, 5000.02, 999, 27, 4998.96, 0, 4998.81, 999, 27, 5000.11, 0, 5000.01, 999, 27, 5000.11, 0, 4999.95, 999, 27, 5000.05, 0, 4999.94, 999, 27, 2516.13, 1, 2516.06, 999, 27, 7735.6, 0, 1092.4, 999
28, 5000.04, 0, 4999.81, 999, 28, 5000.05, 0, 4999.91, 999, 28, 5000.02, 0, 4999.91, 999, 28, 3450.98, 0, 3440.84, 999, 28, 5000.04, 0, 4999.92, 999, 28, 5000.09, 0, 4999.92, 999, 28, 4999.9, 0, 5000.01, 999, 28, 40000.3, 0, 5005.22, 999, 28, 5000.03, 0, 5000.02, 999, 28, 3258.95, 1, 410.041, 999, 28, 39965.2, 0, 5000.02, 999, 28, 4998.51, 0, 4998.4, 999, 28, 5000.1, 0, 4999.91, 999, 28, 5000.11, 0, 4999.94, 999, 28, 5000.06, 0, 4999.93, 999, 28, 5000.03, 0, 4999.91, 999, 28, 7991.24, 0, 1004.4, 999
29, 85.363, 1, 85.3626, 999, 29, 5000.09, 0, 5000.01, 999, 29, 191.246, 1, 191.241, 999, 29, 5000.1, 0, 5000.48, 999, 29, 780.41, 1, 780.386, 999, 29, 812.432, 1, 812.413, 999, 29, 699.817, 1, 699.809, 999, 29, 3079.6, 1, 385.863, 999, 29, 4992.23, 0, 5000.02, 999, 29, 11781.6, 0, 1484.03, 999, 29, 5698.19, 1, 712.853, 999, 29, 4998.67, 0, 4998.56, 999, 29, 5000.05, 0, 4999.91, 999, 29, 5000.1, 0, 5000.22, 999, 29, 5000.06, 0, 4999.91, 999, 29, 4044.01, 1, 4043.89, 999, 29, 5867.91, 1, 739.66, 999
30, 197.261, 1, 197.256, 999, 30, 254.891, 1, 254.886, 999, 30, 5000.04, 0, 4999.91, 999, 30, 3453.92, 0, 3441.94, 999, 30, 5000.11, 0, 5000.12, 999, 30, 1688.03, 1, 1687.95, 999, 30, 1855.21, 1, 1855.15, 999, 30, 13627.7, 1, 1706.68, 999, 30, 1559.14, 1, 1559.31, 999, 30, 6290.08, 1, 895.951, 999, 30, 28560.4, 1, 3952.42, 999, 30, 2068.75, 1, 2068.69, 999, 30, 5000.06, 0, 4999.91, 999, 30, 5000.12, 0, 5000.15, 999, 30, 5000.1, 0, 4999.93, 999, 30, 1098.5, 1, 1098.47, 999, 30, 5286.61, 1, 759.723, 999
