INSTANCE_ID, EagleUP_1.565.350_Time, EagleUP_1.565.350_opt, EagleUP_1.565.350_solved, EagleUP_1.565.350_PAR, INSTANCE_ID, SAT09referencesolver:TNM_2009-03-22_Time, SAT09referencesolver:TNM_2009-03-22_opt, SAT09referencesolver:TNM_2009-03-22_solved, SAT09referencesolver:TNM_2009-03-22_PAR, INSTANCE_ID, sparrow2011_sparrow2011_ubcsat1.2_2011-03-02_Time, sparrow2011_sparrow2011_ubcsat1.2_2011-03-02_opt, sparrow2011_sparrow2011_ubcsat1.2_2011-03-02_solved, sparrow2011_sparrow2011_ubcsat1.2_2011-03-02_PAR, INSTANCE_ID, adaptg2wsat2011_2011-03-02_Time, adaptg2wsat2011_2011-03-02_opt, adaptg2wsat2011_2011-03-02_solved, adaptg2wsat2011_2011-03-02_PAR, INSTANCE_ID, sattime2011_2011-03-02_Time, sattime2011_2011-03-02_opt, sattime2011_2011-03-02_solved, sattime2011_2011-03-02_PAR, INSTANCE_ID, MPhaseSAT_M_2011-02-16_Time, MPhaseSAT_M_2011-02-16_opt, MPhaseSAT_M_2011-02-16_solved, MPhaseSAT_M_2011-02-16_PAR, INSTANCE_ID, march_rw_2011-03-02_Time, march_rw_2011-03-02_opt, march_rw_2011-03-02_solved, march_rw_2011-03-02_PAR, INSTANCE_ID, SAT09referencesolver:march_hi_hi_Time, SAT09referencesolver:march_hi_hi_opt, SAT09referencesolver:march_hi_hi_solved, SAT09referencesolver:march_hi_hi_PAR, INSTANCE_ID, SAT09referencesolver:gnovelty+2_2009-03-22_Time, SAT09referencesolver:gnovelty+2_2009-03-22_opt, SAT09referencesolver:gnovelty+2_2009-03-22_solved, SAT09referencesolver:gnovelty+2_2009-03-22_PAR,INSTANCE_ID, nvarsOrig, nclausesOrig, nvars, nclauses, reducedVars, reducedClauses, vars_clauses_ratio, POSNEG_RATIO_CLAUSE_mean, POSNEG_RATIO_CLAUSE_coeff_variation, POSNEG_RATIO_CLAUSE_min, POSNEG_RATIO_CLAUSE_max, POSNEG_RATIO_CLAUSE_entropy, VCG_CLAUSE_mean, VCG_CLAUSE_coeff_variation, VCG_CLAUSE_min, VCG_CLAUSE_max, VCG_CLAUSE_entropy, UNARY, BINARYp, TRINARYp, VCG_VAR_mean, VCG_VAR_coeff_variation, VCG_VAR_min, VCG_VAR_max, VCG_VAR_entropy, POSNEG_RATIO_VAR_mean, POSNEG_RATIO_VAR_stdev, POSNEG_RATIO_VAR_min, POSNEG_RATIO_VAR_max, POSNEG_RATIO_VAR_entropy, HORNY_VAR_mean, HORNY_VAR_coeff_variation, HORNY_VAR_min, HORNY_VAR_max, HORNY_VAR_entropy, horn_clauses_fraction, VG_mean, VG_coeff_variation, VG_min, VG_max, CG_mean, CG_coeff_variation, CG_min, CG_max, CG_entropy, cluster_coeff_mean, cluster_coeff_coeff_variation, cluster_coeff_min, cluster_coeff_max, cluster_coeff_entropy, DIAMETER_mean, DIAMETER_coeff_variation, DIAMETER_min, DIAMETER_max, DIAMETER_entropy, cl_num_mean, cl_num_coeff_variation, cl_num_min, cl_num_max, cl_num_q90, cl_num_q10, cl_num_q75, cl_num_q25, cl_num_q50, cl_size_mean, cl_size_coeff_variation, cl_size_min, cl_size_max, cl_size_q90, cl_size_q10, cl_size_q75, cl_size_q25, cl_size_q50, SP_bias_mean, SP_bias_coeff_variation, SP_bias_min, SP_bias_max, SP_bias_q90, SP_bias_q10, SP_bias_q75, SP_bias_q25, SP_bias_q50, SP_unconstraint_mean, SP_unconstraint_coeff_variation, SP_unconstraint_min, SP_unconstraint_max, SP_unconstraint_q90, SP_unconstraint_q10, SP_unconstraint_q75, SP_unconstraint_q25, SP_unconstraint_q50, saps_BestSolution_Mean, saps_BestSolution_CoeffVariance, saps_FirstLocalMinStep_Mean, saps_FirstLocalMinStep_CoeffVariance, saps_FirstLocalMinStep_Median, saps_FirstLocalMinStep_Q10, saps_FirstLocalMinStep_Q90, saps_BestAvgImprovement_Mean, saps_BestAvgImprovement_CoeffVariance, saps_FirstLocalMinRatio_Mean, saps_FirstLocalMinRatio_CoeffVariance, gsat_BestSolution_Mean, gsat_BestSolution_CoeffVariance, gsat_FirstLocalMinStep_Mean, gsat_FirstLocalMinStep_CoeffVariance, gsat_FirstLocalMinStep_Median, gsat_FirstLocalMinStep_Q10, gsat_FirstLocalMinStep_Q90, gsat_BestAvgImprovement_Mean, gsat_BestAvgImprovement_CoeffVariance, gsat_FirstLocalMinRatio_Mean, gsat_FirstLocalMinRatio_CoeffVariance, lobjois_mean_depth_over_vars, lobjois_log_num_nodes_over_vars, Pre_featuretime, Basic_featuretime, KLB_featuretime, CG_featuretime, DIAMETER_featuretime, cl_featuretime, sp_featuretime, ls_saps_featuretime, ls_gsat_featuretime, lobjois_featuretime
88,3.58845,1,3.58828,999,88,8.5587,1,8.55926,999,88,33.5699,1,33.5694,999,88,328.836,1,328.829,999,88,108.464,1,108.461,999,88,23.1455,1,23.1504,999,88,5000.08,0,4999.93,999,88,5000.04,0,4999.92,999,88,38.5571,1,38.5565,999,88,5000,21000,4869,20865,0.026904909,0.006470165,0.233357297,0.49293394,0.589136742,0,1,0.715437139,0.000624087,0.06507209,0.000616143,0.001026905,0.165091417,0,0,0.962281332,0.000624087,0.290834858,9.59E-05,0.00167745,2.7103494,0.228370828,0.169282478,0,1,3.354180269,0.00030217,0.396904818,0,0.000910616,2.309231832,0.486316798,0.001262977,0.293763179,0.000191709,0.003450755,0.000947958,0.251209352,0.000287563,0.002540139,2.985579907,0.102563964,0.245786354,0.037735849,0.285714286,2.266133163,5.000684463,0.005229941,5,6,0.005671823,46.79090909,0.359366563,25,121,65,32,51,37,42,41.38508397,0.11825949,31.45762712,59.75510204,48.12745098,35.62222222,44.44444444,37.67391304,41.46296296,0.395957641,0.563482521,0.000123888,1,0.700683619,0.093693154,0.56672821,0.215223107,0.390500978,0.091569828,0.646022613,0.001231775,0.491902196,0.173118758,0.027954539,0.121314247,0.047563737,0.078402259,139.5,0.149267,1064.86,0.02314,1067.5,1033,1091,0.612418,0.194524,0.846812,0.0133339,93.375,0.454908,1060.05,0.0252969,1061.5,1030,1092,0.114228,1.64664,0.829433,0.0223617,0.250397333,0.346838209,0.06,0.01,0.07,0.4,2.01,1.99,0.2,2.13,2.43,2
89,28.8816,1,28.881,999,89,533.204,1,533.192,999,89,47.5958,1,47.5998,999,89,738.554,1,738.603,999,89,460.381,1,460.371,999,89,860.968,1,860.951,999,89,5000.03,0,5000.02,999,89,5000.08,0,5000.01,999,89,4577.74,1,4577.6,999,89,25000,105000,24393,104334,0.024884188,0.006383346,0.233797228,0.496068396,0.587344981,0,1,0.711977132,0.000124452,0.063316002,0.000122986,0.000245972,0.155472171,0,0,0.965447505,0.000124452,0.290645636,1.92E-05,0.00035463,2.716925446,0.227913844,0.17123183,0,1,3.371244626,6.11E-05,0.400517922,0,0.00023003,2.333191089,0.493424962,0.000252168,0.294293036,3.83E-05,0.000738014,0.000188805,0.243661445,4.79E-05,0.000584661,2.96363063,0.102185491,0.244023554,0.032258065,0.333333333,2.247933045,5.384615385,0.09035079,5,6,0.666278442,6.494949495,0.505876116,2,21,11,3,9,4,6,81.87745846,0.355328952,34.71428571,203.3333333,128.4,50.85714286,94.2,62.19047619,75,0.392408827,0.58253116,1.98E-06,1,0.706604239,0.083320782,0.569992552,0.203247116,0.385064944,0.092633544,0.65277992,0.000992599,0.653522548,0.176738159,0.028134144,0.124373199,0.047336507,0.079352452,1267,0.849267,5285.33,0.0108925,5276,5233,5276,0.93814,0.894743,0.890051,0.101748,505.833,0.0572754,5322.17,0.00773374,5309,5281,5347,0.127844,0.0734566,0.832639,0.0058676,0.224345099,0.257601692,0.42,0.02,1.69,2.34,2.01,2,1.47,2.12,2.22,2.04
90,14.9277,1,14.9274,999,90,135.59,1,135.587,999,90,16.1895,1,16.1917,999,90,163.23,1,163.228,999,90,271.033,1,271.047,999,90,163.831,1,163.878,999,90,5000.1,0,5000.02,999,90,5000.1,0,4999.91,999,90,428.887,1,428.875,999,90,15000,63000,14668,62631,0.022634306,0.005891651,0.234197123,0.495584721,0.585795983,0,1,0.700622927,0.000206754,0.061082264,0.000204527,0.000409054,0.14491632,0,0,0.968657693,0.000206754,0.287473955,4.79E-05,0.000542862,2.704092739,0.227910338,0.171156938,0,1,3.365066173,0.000101847,0.396266141,0,0.000287398,2.324671609,0.494754994,0.000418341,0.290648312,9.58E-05,0.001133624,0.000312786,0.242041031,7.98E-05,0.000878159,2.951185279,0.102709803,0.241421573,0.035714286,0.333333333,2.244779229,5.032432432,0.035200794,5,6,0.143098441,11.06306306,0.37696811,5,28,17,7,13,8,10,63.80073208,0.208207147,39.57142857,119.2,78.77777778,48.45454546,73.72727273,53,62.64705882,0.393190648,0.579991088,0.000112437,1,0.70917729,0.086420196,0.56780002,0.203217829,0.386637789,0.093036579,0.643976794,0.001142205,0.607548452,0.175458678,0.028460341,0.125448386,0.047442171,0.080208709,1077.75,1.85555,2796.25,0.404343,3191,0,3231,0.930846,1.30777,1.30647,1.00819,244.727,0.0475506,3199.09,0.0134627,3189,3148,3247,0.0786074,0.123567,0.82724,0.00370578,0.226820289,0.292357483,0.22,0.01,0.62,1.32,2.01,2.01,0.76,2.09,2.28,2.03
91,5.87911,1,5.87809,999,91,7.84881,1,7.8484,999,91,2.52961,1,2.52996,999,91,62.7005,1,62.7,999,91,60.6278,1,60.6269,999,91,5000.02,0,4999.91,999,91,5000.08,0,4999.93,999,91,5000.06,0,4999.92,999,91,10.6594,1,10.6614,999,91,10000,42000,9738,41704,0.026904909,0.007097641,0.233502782,0.495922054,0.587802959,0,1,0.717345671,0.000311982,0.065064445,0.000308071,0.000513452,0.163184247,0,0,0.963145022,0.000311982,0.290922842,2.40E-05,0.000839248,2.718264792,0.228893479,0.17279461,0,1,3.37558699,0.000152315,0.40080663,0,0.000455592,2.327550418,0.490384615,0.000632143,0.294542262,4.80E-05,0.001750432,0.000473392,0.246453735,9.59E-05,0.001150969,2.97452211,0.102272265,0.246451095,0.041666667,0.4,2.258035136,5.108247423,0.060821769,5,6,0.342835391,18.9137931,0.351435112,9,42,29,11,22,14,18,54.54010171,0.179990652,31.125,86.4,66.66666667,42.66666667,61,48.3,52.82758621,0.395656713,0.580454302,0.00021318,1,0.708592498,0.08679737,0.57344803,0.204091607,0.388157906,0.093732294,0.653120137,0.002551146,0.886119742,0.177399312,0.028036156,0.126875969,0.048178477,0.080490821,247.647,0.133429,2120.29,0.0147199,2119,2086,2153,0.545974,0.197767,0.842196,0.00902638,211.05,1.51696,2027.3,0.235792,2129,2076,2170,0.169793,2.90732,0.856185,0.159344,0.238501903,0.289625745,0.14,0.01,0.27,0.84,2.01,2,0.47,2.08,2.43,2
92,5000.04,0,4999.91,999,92,5000.05,0,4999.91,999,92,1079.13,1,1079.12,999,92,5000.04,0,5000.02,999,92,5000.1,0,5000.02,999,92,5000.06,0,4999.92,999,92,5000.05,0,4999.92,999,92,5000.11,0,4999.91,999,92,5000.06,0,4999.91,999,92,50000,210000,48819,208736,0.024191401,0.006055496,0.233879158,0.497055132,0.586817122,0,1,0.704977102,6.21E-05,0.061518997,6.15E-05,0.000122903,0.149315032,0,0,0.967073241,6.21E-05,0.289382217,4.79E-06,0.000177257,2.711251939,0.22616319,0.170591468,0,1,3.356349629,3.06E-05,0.398075454,0,9.58E-05,2.329395626,0.494299019,0.000125885,0.292770339,9.58E-06,0.000359306,9.43E-05,0.243509367,1.92E-05,0.0002587,2.962095572,0.102141615,0.243172314,0.036363636,0.4,2.245931279,6,0,6,6,0,2.976190476,0.675940826,1,12,5,1,4,1,2,112.1311508,0.490424373,37,350,179,54,130,77,101.5,0.391518111,0.580989632,1.65E-05,1,0.702916599,0.085293119,0.566896306,0.202668309,0.384624743,0.092039273,0.657371623,0.000596106,0.962083882,0.175443716,0.027407651,0.124070218,0.046945189,0.079199817,2545,0,10713,0,10713,10713,10713,1.24034,0,0.886898,0,2143,0.639615,10599.3,0.00141309,10595,10587,10595,0.60982,1.0469,0.873332,0.0606372,0.205469865,0.237129295,0.94,0.06,6.61,4.98,2.07,1.99,2.72,2.23,2.24,2.08
93,1202.83,1,1202.79,999,93,573.599,1,573.585,999,93,143.357,1,143.36,999,93,1383.19,1,1383.15,999,93,2879.51,1,2879.45,999,93,5000.11,0,4999.91,999,93,5000.04,0,4999.92,999,93,5000.09,0,4999.91,999,93,5000.02,0,4999.81,999,93,24999,105000,24383,104285,0.025263503,0.006856211,0.23381119,0.496605867,0.58770206,0,1,0.715748821,0.00012456,0.064783225,0.000123037,0.000287085,0.16011067,0,0,0.964261399,0.00012456,0.292560898,1.92E-05,0.000383564,2.721261937,0.225297499,0.170232748,0,1,3.355470115,6.13E-05,0.396799366,0,0.000220549,2.328426311,0.494539004,0.000252538,0.296225818,3.84E-05,0.000795896,0.000189525,0.245302294,4.79E-05,0.000527401,2.96956342,0.10187878,0.243705223,0.035714286,0.333333333,2.248355751,5.392405063,0.090550711,5,6,0.669811753,6.37254902,0.45081911,1,16,10,3,8,4,6,74.62572617,0.286644008,39.66666667,132.3333333,103.4,47.71428571,89.2,55.33333333,72.875,0.390844337,0.579588716,5.87E-05,1,0.701894655,0.085541407,0.567586635,0.203197892,0.383482127,0.091817114,0.662167564,0.002023535,0.759611106,0.175310464,0.027392288,0.123844973,0.046316695,0.078101921,749.333,0.191225,5268,0.0109063,5247,5224,5247,0.660972,0.25622,0.844978,0.00888727,541,0.135317,5314.5,0.00708034,5300.5,5280,5336,0.145296,0.367419,0.833032,0.00743435,0.223508182,0.279279747,0.41,0.02,1.72,2.35,2.01,1.99,1.46,2.11,2.24,2.01
94,303.036,1,303.03,999,94,1537.62,1,1537.58,999,94,298.326,1,298.325,999,94,1613.81,1,1613.8,999,94,901.973,1,901.948,999,94,5000.03,0,4999.91,999,94,5000.1,0,5000.05,999,94,5000.09,0,4999.95,999,94,637.751,1,637.73,999,94,1000,20000,1000,20000,0,0,0.05,0.37672,0.650312696,0.2,1,0.835077226,0.005,0,0.005,0.005,0,0,0,0,0.005,0.100428084,0.0034,0.00655,3.682231686,0.078083723,0.059508739,0,0.327433628,2.997810659,0.0009525,0.227154702,0.00035,0.00165,2.865383905,0.1905,0.0164893,0.08451388,0.0122,0.02055,-1,0,-1,0,-512,-1,0,-1,0,0,3,0,3,3,0,44.47916667,0.248432167,29,89,57,33,48,37,43,56.8541895,0.09625015,42.2173913,70.96774194,64.23333333,50.3,60.39534884,53.27272727,57.2,0.164294433,0.691069264,0.000350679,0.556612744,0.323954496,0.031873435,0.243078853,0.073897804,0.143080224,0.002713791,0.660240085,0.000354425,0.014125781,0.00504161,0.001014548,0.003490238,0.001510647,0.002235894,55.7736,0.159506,190.776,0.0770946,191,177,206,1.063,0.218729,0.858431,0.0360603,43.8547,0.148418,189.427,0.0631534,188.5,175,204,0.325926,0.357442,0.836319,0.0273255,0.475071325,0.573668769,0.05,0,0.01,60.01,1.31,1.98,0.37,2.1,2.17,2
95,5000.02,0,4999.91,999,95,5000.05,0,4999.91,999,95,152.918,1,152.92,999,95,597.567,1,597.556,999,95,5000.09,0,4999.92,999,95,4999.99,0,5000.02,999,95,5000.03,0,5000.22,999,95,5000.09,0,4999.91,999,95,5000.05,0,4999.91,999,95,35000,147000,34109,146031,0.026122138,0.006635577,0.233573693,0.496109274,0.587064676,0,1,0.714823395,8.90E-05,0.064833951,8.80E-05,0.000175907,0.160206895,0,0,0.964233622,8.90E-05,0.289613619,1.37E-05,0.000267067,2.714139274,0.228219491,0.169371194,0,1,3.372806825,4.38E-05,0.397784065,0,0.000178044,2.326917318,0.493826653,0.000180561,0.293495207,2.74E-05,0.000554677,0.000135098,0.2446623,2.74E-05,0.000397176,2.967642841,0.102021572,0.24402144,0.033898305,0.4,2.249315223,5.760869565,0.074043083,5,6,0.550075524,4.380434783,0.501332817,1,11,7,2,6,3,4,90.68595936,0.317206813,25.75,167,128.3333333,58,110,72,83.25,0.393858168,0.576052044,2.13E-05,1,0.705979207,0.08607812,0.569991854,0.206548542,0.388828167,0.092157561,0.65044168,0.001032183,0.7088512,0.175907279,0.028154076,0.123760335,0.047110088,0.078952199,3974,1.11849,3687,1.41421,3687,0,0,1.49498,1.02972,1.24625,0.461153,3018.4,1.64251,5952.4,0.559196,7407,0,7514,0.854072,1.78824,1.2737,0.762644,0.208102456,0.250737783,0.62,0.04,3.24,3.39,2.04,2,2.18,2.15,2.22,2.11
96,5000.04,0,4999.91,999,96,5000.02,0,4999.91,999,96,158.969,1,158.976,999,96,4244.35,1,4244.3,999,96,1045.01,1,1045,999,96,5000.08,0,4999.92,999,96,5000.04,0,4999.93,999,96,5000.11,0,5000.01,999,96,4999.97,0,5000.01,999,96,49999,210000,48706,208561,0.026547037,0.00689966,0.233533594,0.494730239,0.5874128,0,1,0.718288231,6.24E-05,0.066152499,6.16E-05,0.000123188,0.165728136,0,0,0.962682381,6.24E-05,0.291743599,9.59E-06,0.00020138,2.72155482,0.228567361,0.17006388,0,1,3.37105812,3.06E-05,0.399764211,0,0.000115074,2.332967277,0.493217812,0.000126602,0.295444766,1.92E-05,0.000417144,9.48E-05,0.246935106,1.44E-05,0.000316454,2.976399091,0.101868585,0.245395956,0.029850746,0.5,2.252986012,6,0,6,6,0,3,0.754721198,1,13,6,1,4,1,2,106.402261,0.439773391,26,252,172.5,52,122.5,79,96.8,0.395126425,0.574318701,4.78E-05,1,0.705868395,0.087775697,0.570987799,0.207294668,0.389221328,0.092806592,0.656884476,0.000420846,0.770463634,0.175672802,0.028088295,0.125430556,0.047204213,0.07922484,2177,0,10597,0,10597,10597,10597,1.10672,0,0.870998,0,2239.67,0.712031,10665.7,0.00918852,10665,10568,10665,0.683655,1.11308,0.881568,0.0717852,0.193576425,0.228933089,0.93,0.07,6.59,5.02,2.06,2,2.73,2.2,2.23,2.04
97,177.008,1,177.006,999,97,1175.45,1,1175.42,999,97,617.197,1,617.192,999,97,5000.06,0,5000.12,999,97,2289.79,1,2289.73,999,97,5000.04,0,4999.91,999,97,5000.11,0,4999.96,999,97,5000.12,0,5000.04,999,97,30.3944,1,30.3948,999,97,1000,20000,1000,20000,0,0,0.05,0.3757,0.64780238,0.2,1,0.831213118,0.005,0,0.005,0.005,0,0,0,0,0.005,0.100559435,0.00365,0.00655,3.695590059,0.077592522,0.056668585,0,0.333333333,2.973528088,0.0009365,0.224804794,0.0003,0.00165,2.837945599,0.1873,0.0164897,0.083887964,0.0124,0.02035,-1,0,-1,0,-512,-1,0,-1,0,0,3,0,3,3,0,44.12244898,0.243956248,25,91,56,33,48,37,42,56.74564146,0.10098627,42.47826087,73.8,64.55813954,50.25531915,60.02631579,52.34090909,56.25581395,0.164270577,0.663186103,0.000234731,0.575049783,0.319731162,0.031939407,0.231513631,0.075032887,0.150389454,0.002674258,0.638848536,0.000329531,0.011234395,0.004905535,0.000955073,0.003477378,0.001448067,0.002286092,56.3308,0.147712,191.49,0.0594637,192,177,206,1.05074,0.217728,0.856567,0.0271779,44.2929,0.15044,190.653,0.0634285,191,175,206,0.324396,0.381498,0.837,0.0261244,0.478669014,0.576929392,0.04,0.01,0.01,60.01,1.28,2,0.36,2.13,2.18,2
98,5000.03,0,4999.91,999,98,5000.05,0,4999.91,999,98,132.892,1,132.897,999,98,5000.04,0,4999.92,999,98,2030.73,1,2030.68,999,98,4999.96,0,5000.02,999,98,5000.12,0,5000.02,999,98,5000.11,0,5000.01,999,98,5000.04,0,4999.91,999,98,35000,147000,34135,145973,0.02534056,0.007035548,0.233844615,0.495226808,0.587112311,0,1,0.709450179,8.89E-05,0.06354494,8.79E-05,0.000205068,0.156025766,0,0,0.965301802,8.89E-05,0.291407784,6.85E-06,0.000260322,2.715425654,0.226267254,0.170805773,0,1,3.359881237,4.36E-05,0.40018352,0,0.000143862,2.328774121,0.492392429,0.000180267,0.295022251,1.37E-05,0.000548047,0.000135196,0.245910886,2.74E-05,0.000376782,2.970217739,0.102008304,0.244355009,0.035714286,0.4,2.251302273,5.933333333,0.042041094,5,6,0.244930027,4.747252747,0.445588324,1,10,8,2,6,3,5,87.53154108,0.359265898,33.25,184.5,138.3333333,52.6,105.75,64.14285714,81.14285714,0.392629709,0.575265092,0.000113263,1,0.702944219,0.089620849,0.56509573,0.206418866,0.384332284,0.091889841,0.65890134,0.000455815,0.92506911,0.17435699,0.027526993,0.124254376,0.046626417,0.078404926,1228.5,0.218147,7463,0.00890634,7463,7416,7416,0.842837,0.316031,0.856305,0.0142611,842.5,0.0911219,7457.5,0.00543533,7455.5,7417,7481,0.190173,0.190907,0.837164,0.00545489,0.230965285,0.267483245,0.61,0.03,3.25,3.39,2.04,2,2.14,2.18,2.2,2.06
99,580.671,1,580.652,999,99,2573.07,1,2572.99,999,99,5000.04,0,4999.91,999,99,5000.12,0,5000.02,999,99,4010.85,1,4010.81,999,99,2020.87,1,2020.83,999,99,5000.09,0,4999.94,999,99,4999.88,0,5000.03,999,99,5000.06,0,4999.91,999,99,200,17000,200,17000,0,0,0.011764706,0.311344538,0.677256126,0.142857143,1,0.997587675,0.035,0,0.035,0.035,0,0,0,0,0.035,0.042334263,0.031411765,0.038470588,4.295778225,0.033942578,0.023902736,0,0.113513514,2.099591152,0.002130882,0.166742021,0.001117647,0.003235294,3.116797141,0.060882353,0.011705882,0,0.011705882,0.011705882,-1,0,-1,0,-512,-1,0,-1,0,0,2,0,2,2,0,3687,0.073928106,3319,4003,4003,3319,4003,3539,3887,57.37654161,0.01501318,56.32570106,58.27448027,58.27448027,56.32570106,58.27448027,56.72986719,58.17611791,0.069067039,0.680052703,0.00026495,0.220606194,0.139428349,0.013297902,0.103404246,0.028110653,0.065646282,0.000102529,0.389198225,3.57E-05,0.000247291,0.000151122,5.41E-05,0.000128519,7.40E-05,9.58E-05,18.1533,0.202936,33.1544,0.142695,33,27,40,1.61928,0.253773,0.868204,0.0630621,18.7405,0.32598,32.6818,0.149743,33,27,39,1.28423,0.412868,0.864989,0.0722758,0.629190672,0.747541402,0.05,0,0,60.14,0.25,1.99,0.93,2.07,2.08,2
100,5000.04,0,4999.81,999,100,5000.02,0,4999.91,999,100,2120.06,1,2119.99,999,100,5000.11,0,5000.02,999,100,5000.1,0,5000.12,999,100,5000.04,0,4999.92,999,100,5000.06,0,4999.94,999,100,5000.05,0,4999.83,999,100,5000.02,0,4999.91,999,100,2000,40000,2000,40000,0,0,0.05,0.37563,0.648429315,0.2,1,0.831376284,0.0025,0,0.0025,0.0025,0,0,0,0,0.0025,0.098459636,0.00165,0.00375,3.678066359,0.079161715,0.060947455,0,0.406593407,3.021261387,0.000474313,0.22299691,0.000175,0.00095,2.845522853,0.189725,0.009055825,0.089880033,0.00625,0.013025,-1,0,-1,0,-512,-1,0,-1,0,0,3,0,3,3,0,18.05,0.279750965,10,37,24,12,21,14,17,75.39872192,0.148840628,53.70967742,112.1,89.75,61.85,82.47058824,67.85,74.5,0.166012472,0.700614427,0.000321902,0.665058519,0.329402862,0.028974211,0.241604995,0.072023244,0.147488675,0.002739343,0.659230121,0.000121298,0.018277204,0.00506918,0.001023359,0.003488669,0.001499511,0.002293677,107.045,0.21125,380.664,0.103245,383.5,364,403,0.939659,0.275648,0.857957,0.0530528,80.8171,0.136243,382.634,0.0420758,384.5,364,400,0.239206,0.408314,0.837918,0.017304,0.462125641,0.566196335,0.1,0.01,0.03,60.01,2.01,1.99,0.77,2.11,2.21,2
101,1966.31,1,1966.27,999,101,2533.06,1,2533.02,999,101,1142.11,1,1142.08,999,101,480.352,1,480.342,999,101,79.084,1,79.0828,999,101,1069.57,1,1069.55,999,101,5000.15,0,5000.04,999,101,5000.08,0,4999.93,999,101,284.719,1,284.712,999,101,150,12750,150,12750,0,0,0.011764706,0.314061625,0.679450191,0.142857143,1,1.006791426,0.046666667,0,0.046666667,0.046666667,0,0,0,0,0.046666667,0.041099683,0.041568627,0.052078431,4.144482318,0.032420617,0.023360212,0,0.097199341,2.082835184,0.002869542,0.147364666,0.001803922,0.003843137,3.005787449,0.061490196,0.011686275,0,0.011686275,0.011686275,-1,0,-1,0,-512,-1,0,-1,0,0,2,0,2,2,0,4202,0.040868847,3994,4421,4421,3994,4421,4081,4312,46.50021819,0.020500378,45.56554766,47.73330241,47.73330241,45.56554766,47.73330241,45.57761643,47.12440624,0.066142556,0.698003322,0.000596059,0.187779125,0.132438101,0.011087901,0.096307935,0.029153172,0.060438944,0.000101211,0.382531233,3.27E-05,0.000258178,0.000157867,6.14E-05,0.000121735,7.45E-05,9.59E-05,14.1023,0.214364,24.8926,0.161069,25,20,30,1.68828,0.262915,0.865816,0.0751795,14.3189,0.277216,24.8278,0.155542,25,20,30,1.39966,0.448465,0.873237,0.197357,0.639382362,0.746549005,0.03,0,0.01,60.02,0.14,1.99,0.68,2.05,2.07,2
102,63.1514,1,63.1522,999,102,607.281,1,607.273,999,102,12.4231,1,12.4228,999,102,156.59,1,156.587,999,102,106.178,1,106.175,999,102,5000.08,0,4999.91,999,102,5000.11,0,4999.95,999,102,5000.12,0,5000.05,999,102,361.02,1,361.01,999,102,1000,20000,1000,20000,0,0,0.05,0.37628,0.650439956,0.2,1,0.834051096,0.005,0,0.005,0.005,0,0,0,0,0.005,0.098990909,0.00365,0.00695,3.673389217,0.080382059,0.060105261,0,0.302752294,3.007957439,0.000955,0.228502694,0.0004,0.00195,2.869323512,0.191,0.0164638,0.083067865,0.01235,0.0215,-1,0,-1,0,-512,-1,0,-1,0,0,3,0,3,3,0,41.52,0.257098213,23,77,55,30,48,34,40,57.49300239,0.097187663,46.55,68.77777778,65.93877551,49.84313726,61.06060606,54.22222222,57.275,0.169125675,0.681309414,0.000309627,0.538240621,0.332563564,0.031495244,0.252918919,0.071973539,0.14975108,0.002751218,0.645421497,0.000243737,0.011470686,0.00514488,0.001050368,0.00348075,0.001492033,0.00227013,54.3218,0.187488,189.072,0.0790911,190,174,204,1.04298,0.236875,0.85541,0.0430354,43.4915,0.154532,191.859,0.0553106,192,179,204,0.321722,0.379092,0.841424,0.0245731,0.478030479,0.582574801,0.05,0,0.01,60.01,1.31,2,0.37,2.1,2.21,2
103,154.146,1,154.143,999,103,55.0936,1,55.098,999,103,115.667,1,115.666,999,103,98.2671,1,98.2702,999,103,30.0694,1,30.0732,999,103,693.943,1,693.925,999,103,5000.1,0,5000.04,999,103,5000.07,0,4999.94,999,103,3.54546,1,3.54621,999,103,150,12750,150,12750,0,0,0.011764706,0.313837535,0.678306995,0.142857143,1,1.005798354,0.046666667,0,0.046666667,0.046666667,0,0,0,0,0.046666667,0.042477253,0.041803922,0.052078431,4.222441808,0.03224956,0.025197191,0,0.113367174,2.11086435,0.002968366,0.155083594,0.001647059,0.004235294,3.062119849,0.063607843,0.011686275,0,0.011686275,0.011686275,-1,0,-1,0,-512,-1,0,-1,0,0,2,0,2,2,0,4188.5,0.028904158,4057,4371,4371,4057,4371,4105,4221,46.44151024,0.016920001,45.21543012,47.27956989,47.27956989,45.21543012,47.27956989,46.32813642,46.94290453,0.065612224,0.749228911,3.83E-06,0.217367077,0.136832351,0.011075334,0.092951381,0.028459637,0.057302471,0.000102758,0.419057854,3.09E-05,0.000247283,0.000179904,5.95E-05,0.000125809,7.18E-05,9.14E-05,14.056,0.219564,25.0552,0.15112,25,20,30,1.68376,0.257017,0.871609,0.0676949,14.1247,0.227089,24.8028,0.154339,25,20,30,1.41055,0.414548,0.869075,0.0701365,0.639112353,0.736650249,0.03,0,0.01,60.04,0.13,2,0.69,2.05,2.06,2
